kata1,kata2,relasi
rewel,penurut,antonim
menyukakan,meriakan,sinonim
induk,emak,sinonim
carik,terbelah,sinonim
membelakangi,deponir,sinonim
bakar,memadamkan,antonim
mutlak,moderat,antonim
sirep,murup,antonim
kekeruhan,kebeningan,antonim
pendapat,ingat,sinonim
meniarap,merahap,sinonim
menyebalkan,menyenangkan,antonim
interior,eksterior,antonim
terbebas,terhukum,antonim
tawar,asin,antonim
penambahan,pengurangan,antonim
kepayahan,kejerihan,sinonim
tengah,sentral,sinonim
memperbagus,memperburuk,antonim
sulung,manggala,sinonim
penutup,pendahuluan,antonim
setelah,sebelum,antonim
ilmu,rakyu,sinonim
sederhana,megah,antonim
bos,anak buah,antonim
bakal,sosok,sinonim
menambah,mengurangkan,antonim
alokasi,kuota,sinonim
gempur,melutu,sinonim
benih,benur,sinonim
selokan,siring,sinonim
memuntahkan,telan,antonim
kusut,berambu-rambu,sinonim
berdarah,berpembawaan,sinonim
menggalakkan,genjik,sinonim
apabila,misalnya,sinonim
membebaskan,pingit,antonim
homogen,plural,antonim
gampang,mencebikkan,sinonim
kebahagiaan,kesedihan,antonim
mengaktifkan,pecat,antonim
konsumen,produsen,antonim
terbelakang,termasyhur,antonim
ilmuwan,jauhari,sinonim
ribut,amuk,sinonim
benar-benar,mendalam,sinonim
terang,suram,antonim
imam,makmum,antonim
meramal,menujum,sinonim
abai,hirau,antonim
berkedok,menyaru,sinonim
lestari,binasa,antonim
meneliti,mendalami,sinonim
terakhir,mula,antonim
tetap,ganti,antonim
tokoh,aktivis,sinonim
batin,jasmani,antonim
berjalan,stop,antonim
pengemis,penderma,antonim
bongsor,boncel,antonim
modern,kuno,antonim
pendiam,ceriwis,antonim
keberadaan,ketiadaan,antonim
sulit,tersembunyi,sinonim
berputar-putar,berselirat,sinonim
cerdas,bodoh,antonim
bersih,medok,antonim
pokok,asal mula,sinonim
berdasar,berasas,sinonim
bersandar,berpedoman,sinonim
penyabar,pemberangsang,antonim
membebaskan,mengamankan,antonim
sedia,mustaid,sinonim
segar,lunglai,antonim
berlutut,merahap,sinonim
condong,sendeng,sinonim
talas,lompong,sinonim
neraka,nirwana,antonim
menarik,menyorong,antonim
penguraian,pemberkasan,antonim
giat,menyulut,sinonim
menyedihkan,memprihatinkan,sinonim
luhur,mahardika,sinonim
retrofleks,kakuminal,sinonim
berantakan,beraturan,antonim
kemarahan,nafsi,sinonim
biennale,bienial,sinonim
bermoral,amoral,antonim
nyata,maya,antonim
latihan,repetisi,sinonim
gundul,rimbun,antonim
antusias,vitalitas,antonim
mengaduk-aduk,awut,sinonim
terhimpun,terlonggok,sinonim
berhamburan,berlompatan,sinonim
merintangi,mengalangi,sinonim
normal,taknormal,antonim
penyatuan,pengasingan,antonim
kemu,berkemu,sinonim
peminjaman,penyetoran,antonim
cerah,pudar,antonim
peniru,plagiator,sinonim
bahadur,gagah berani,sinonim
terkaan,anggapan,sinonim
kecelakaan,kegeruhan,sinonim
berlanjut,berbuntut,sinonim
pengairan,tali air,sinonim
petinju,petarung,sinonim
bertambah,berkurang,antonim
pemeriksaan,kontrol,sinonim
ramai,sunyi,antonim
terdekat,terjauh,antonim
keabadian,kefanaan,antonim
kabut,halimun,sinonim
menjulang,junam,antonim
berpagutan,berangkulan,sinonim
melembek,menyurut,sinonim
bersahabat,berseteru,antonim
aku,engkau,antonim
mendahului,membuntuti,antonim
menggerogoti,mengerokoti,sinonim
gembar-gembor,meraung-raungkan,sinonim
baik,zalim,antonim
berdebat,bertukar pikiran,sinonim
perempuan,laki,antonim
laba-laba,galagasi,sinonim
kelak,kudian,sinonim
berpisah,sua,antonim
kebahagiaan,depresi,antonim
angkuh,rendah hati,antonim
jantan,betina,antonim
canggih,banyak bicara,sinonim
runcing,dempak,antonim
terang,aram,antonim
tertinggi,terendah,antonim
malu-malu,takut-takutan,sinonim
antusias,gelora,antonim
kemajemukan,homogenitas,antonim
simulasi,bohong-bohongan,sinonim
rapi,berantakan,antonim
berlayar,bersauh,antonim
mengungkapkan,menutupi,antonim
garang,kereng,sinonim
situ,kian,sinonim
godam,penggodam,sinonim
dingin,tebal telinga,sinonim
pertalian,pertambatan,sinonim
heterogen,keberbagaian,antonim
teratur,bertaburan,antonim
congkak,melambungkan dada,sinonim
meratakan,mencanai,sinonim
tunai,cicil,antonim
pemberani,penakut,antonim
simpul,punding,sinonim
lamban,cekat,antonim
gagap,terputus-putus,antonim
konotatif,denotatif,antonim
tidur,terjaga,antonim
mudarat,mustahak,antonim
kaya,miskin,antonim
kering,lembang,antonim
melarang,membolehkan,antonim
pemarah,penyabar,antonim
ibu,ayah,antonim
intim,renggang,antonim
adil,timpang,antonim
dara,jaka,antonim
sapu,penghapus,sinonim
berjiwa,berbobot,sinonim
habitat,persekitaran,sinonim
penyayang,pembenci,antonim
terpilih,tersisih,antonim
bawah,kaki (gunung),sinonim
pecah,bermula,sinonim
senyum,senyuman,sinonim
menutup,menyudahi,sinonim
keseragaman,kebinekaan,antonim
tokoh,sosok,sinonim
menodong,acu,sinonim
lingkup,spektrum,sinonim
wanita,pria,antonim
berkembang,bertumbuh,sinonim
kecongkakan,kerendahhatian,antonim
hening,riuh,antonim
kusut,cerai-berai,sinonim
siaran,sebaran,sinonim
berdekatan,berjauhan,antonim
padat,lebur,antonim
lancar,bata-bata,antonim
kawan,handai,sinonim
kemaslahatan,kemudaratan,antonim
tutup,tangkup,sinonim
bersatu,berpisah,antonim
sambutan,tolakan,antonim
cair,kental,antonim
tiruan,orisinal,antonim
memboroskan,mencermatkan,antonim
kaku,supel,antonim
menyodok,merogol,sinonim
penyiar,angkasawan,sinonim
pelanggan,penjual,antonim
menyandarkan,mencagarkan,sinonim
membuang,geser,sinonim
membuktikan,menandakan,sinonim
telegram,surat kawat,sinonim
leukemia,lekemia,sinonim
mengutamakan,mengetepikan,antonim
bising,senyap,antonim
talak,rujuk,antonim
asing,tersisih,sinonim
elok,luwes,sinonim
mengharamkan,menghalalkan,antonim
memainkan,mempertunjukkan,sinonim
menangkup,menelentang,antonim
raja,bidak,sinonim
dermawan,kikir,antonim
meminjam,setor,antonim
independen,dependen,antonim
pernah,belum,antonim
variabel,peubah,sinonim
penjelasan,interpretasi,sinonim
peniru,imitator,sinonim
muncul,sirna,antonim
mengesampingkan,mendahulukan,antonim
pengguna,produsen,antonim
teruji,pengetes,antonim
neraka,firdaus,antonim
festival,pertarungan,sinonim
kemalangan,kemujuran,antonim
menghidupkan,memadamkan,antonim
temu,pisah,antonim
berkolaborasi,bantu-membantu,sinonim
boros,mengumbar,antonim
lamban,gancang,antonim
menipis,menebal,antonim
berarti,berjasa,sinonim
berdoa,bersemadi,sinonim
infertilitas,fertilitas,antonim
perintang,penyakat,sinonim
bocor,berburai (rahasia),sinonim
pendatang,bumiputra,antonim
tertindih,terhempap,sinonim
lentik,jengkit,sinonim
kerut,kernyit,sinonim
merenggangkan,mengeratkan,antonim
kekacauan,kedamaian,antonim
anteng,lasak,antonim
distribusi,porsi,sinonim
parsial,ekstensif,antonim
perang,damai,antonim
bersandar,berlabuh,sinonim
heterogen,homogen diversitas,antonim
maksimum,minimum,antonim
setek,menelut,sinonim
penangkapan,resepsi,sinonim
swastanisasi,penswastaan,sinonim
kedapatan,menodong,sinonim
cabang,badal,sinonim
membongkar,mengemas,antonim
masuk,keluar,antonim
atasan,subordinat,antonim
sampai,berbatas,sinonim
mengejang,spastik,sinonim
gerak,garit,sinonim
penanggalan,pembalutan,antonim
membiarkan,menyawar,antonim
gondok,bengok,sinonim
dari,ketimbang,sinonim
dunia,akhirat,antonim
mengadukan,menengahi,antonim
bengal,binal,sinonim
trengginas,gancang,sinonim
menipu,menggunting,sinonim
aktivis,penggerak,sinonim
kehidupan,kematian,antonim
mencerahkan,memuramkan,antonim
saya,engkau,antonim
gemetar,menggeletar,sinonim
mendudukkan,mempertunangkan,sinonim
galau,semak hati,sinonim
kota,udik,antonim
rintangan,usikan,sinonim
gendang,gulung,sinonim
menyangkal,menyalahi,sinonim
berbicara,beroperasi,sinonim
runcing,tumpul,antonim
menjangkau,menggayuk,sinonim
menurut,bersambutan,sinonim
terburu-buru,tersera-sera,sinonim
buncit,besar perut,sinonim
penderita,pesakit,sinonim
hina,asfal,sinonim
main-main,khusyuk,antonim
telentang,tiarap,antonim
pemberian,ganjar,sinonim
daerah,dusun,sinonim
perompak,lanun,sinonim
merampingkan,menggemukkan,antonim
cangkul,penggali,sinonim
bermoral,asusila,antonim
evakuasi,eksodus,sinonim
memohon,berdatang sembah,sinonim
kecelakaan,keselamatan,antonim
terminal,setopan,sinonim
saya,ana,sinonim
padat,mumuk,antonim
meyakinkan,menyangsikan,antonim
ponggok,kuntul,sinonim
menyatukan,membubarkan,antonim
keheningan,kebisingan,antonim
meniatkan,mengasadkan,sinonim
tambak,empang,sinonim
melalaikan,mengacuhkan,antonim
memuliakan,memundi-mundi,sinonim
pemeriksaan,pengecekan,sinonim
bagus,jelek,antonim
terbebas,terpasung,antonim
puncak,klimaks,sinonim
terang,tersurat,sinonim
mondar-mandir,julur-julur,sinonim
menyerobot,memapas,sinonim
serbuan,bidasan,sinonim
mendirikan,meruntuhkan,antonim
fleksibilitas,kekakuan,antonim
dedemit,popokan,sinonim
perdamaian,pertengkaran,antonim
beranda,serambi,sinonim
ambal,mengambal,sinonim
mengharumkan,membusukkan,antonim
dataran,ranah,sinonim
kejujuran,kecurangan,antonim
merintangi,mengaralkan,sinonim
bubar,berlarian,sinonim
setia,mungkir,antonim
peremajaan,alih generasi,sinonim
pusat,cabang,antonim
berjajar,bertatai-tatai,sinonim
bego,lom-pong,sinonim
teliti,sembrono,antonim
capai,menggenggam,sinonim
kegembiraan,kesayuan,antonim
kritik,apresiasi,sinonim
harta,reta,sinonim
sabar,palak,antonim
terpilih,terdepak,antonim
keburukan,keelokan,antonim
teluk,jazirah,antonim
bertaburan,bepercikan,sinonim
jelek,tampan,antonim
celaka,cialat,sinonim
meleburkan,memadatkan,antonim
etiket,bersusila,sinonim
pintar,bodoh,antonim
bintang,kala,sinonim
kembung,buntal,sinonim
mudah,susah,antonim
hening,lut,sinonim
mengaktifkan,memasifkan,antonim
bangun,jaga,sinonim
menodai,menceriakan,antonim
repot,leluasa,antonim
warna-warni,berwarna-warna,sinonim
disintegrasi,pernyatuan,antonim
berantas,lenyapkan,sinonim
datang,berangkat,antonim
canggung,gabir,sinonim
mempan,mangkir,antonim
kesedihan,kegembiraan,antonim
mapan,goyah,antonim
eskalator,tangga berjalan,sinonim
telinga,pendengaran,sinonim
ajaib,gaib,sinonim
memilin,memelintir,sinonim
otomatisasi,mekanisasi,sinonim
tapung,menapung,sinonim
secukupnya,seadanya,sinonim
abdi,juragan,antonim
melantik,melengserkan,antonim
berdiri,duduk,antonim
asli,tiruan,antonim
antusias,apatis dorongan,antonim
dalang,tukang cerita,sinonim
menekan,membenamkan,sinonim
hujah,alibi,sinonim
berunding,bermusyawarah,sinonim
mantra,tuju,sinonim
ujung,pangkal,antonim
rapi,lusuh,antonim
berantakan,awut-awutan,sinonim
tentara,sipil,antonim
menimbang-nimbang,memadan-madan,sinonim
seremonial,ritualistis,sinonim
bercerai-berai,bersatu-padu,antonim
solok,pesolok,sinonim
praktis,teoretis,antonim
pendingin,pemanas,antonim
nikah,bercerai,antonim
lalai,acuh,antonim
kebenaran,kedustaan,antonim
cuek,acuh,antonim
kebanyakan,awam,sinonim
asal,benih,sinonim
penggundulan,penghutanan,antonim
tanda,tengara,sinonim
berudu,anak katak,sinonim
menampakkan,dedah,sinonim
utuh,remuk,antonim
ketenangan,kerusuhan,antonim
spesies,bangsa,sinonim
sulit,selit belit,sinonim
tenang,amuk,antonim
hampir,parak,sinonim
bibit,tunas,sinonim
pengakuan,pengingkaran,antonim
mahasiswa,dosen,antonim
bersih,dekil,antonim
kaya,sarit,antonim
berbaring,bergulingan,sinonim
komedi,tragedi,antonim
sebagian,antero,antonim
menyisakan,merampungkan,antonim
cetusan,bunga api,sinonim
segan,ogah-ogahan,sinonim
menyerang,tangkis,antonim
peziarah,penyadran,sinonim
telentang,telangkup,antonim
indeks,senarai,sinonim
brosur,selebaran,sinonim
cerai,pisah,sinonim
tetap,fana,antonim
plural,singular,antonim
cahaya,sinar,sinonim
terlepas,tertangkap,antonim
teratur,semrawut,antonim
berat,ringan,antonim
menguraikan,memberkaskan,antonim
kesederhanaan,kerumitan,antonim
menumbuhkan,menumpas,antonim
mundur,menarik langkah,sinonim
ekstrem,moderat,antonim
amanah,khianat,antonim
membahagiakan,menyengsarakan,antonim
sisi,samping,sinonim
penolakan,impuls,antonim
kempot,kempung,sinonim
sampul,balut,sinonim
bertarung,bergontok,sinonim
deskriptif,preskriptif,antonim
penerima,donor,antonim
konstruktif,destruktif,antonim
lembah,lembang,sinonim
terbuka,tersingkap,sinonim
simpulan,inferensi,sinonim
mitraliur,karabin,sinonim
merenggang,mendempet,antonim
tertidur,terbangun,antonim
bercakap-cakap,berdiam diri,antonim
bangga,agul,sinonim
kedatangan,kepergian,antonim
melepaskan,taut,antonim
kesengsaraan,kesenangan,antonim
rela,pamrih,antonim
rapi,lecek,antonim
mengkal,gregetan,sinonim
gemuk,langsing,antonim
jarang-jarang,saban-saban,antonim
merendahkan,meninggikan,antonim
keok,ambau,sinonim
menanggalkan,memakaikan,antonim
mengganggu,meragu,sinonim
barak,tangsi,sinonim
tanaman,tumbuhan,sinonim
penerimaan,penolakan,antonim
sederhana,mewah,antonim
padam,mengangah,antonim
tenang,heboh,antonim
semangat,mutung,antonim
badai,terbadai,sinonim
menyeruput,cerup,sinonim
akan,hadapan,sinonim
bao,duda,sinonim
mengintimidasi,menggertak,sinonim
cewek,cowok,antonim
sial,mujur,antonim
pemindahan,pemboyongan,sinonim
mangkuk,cawan,sinonim
kemantapan,instabilitas,antonim
jelas,lamat-lamat,antonim
makelar,cengkau,sinonim
berdebat,bersalahan,sinonim
cantik,adiwarna,sinonim
penjahat,perlenteh,sinonim
vertikal,horizontal,antonim
menyelesaikan,menjernihkan,sinonim
keris,tosan aji,sinonim
sejenis,bermacam-macam,antonim
lama,sekejap,antonim
menurunkan,menaikkan,antonim
ketenaran,kepudaran,antonim
mustahil,lengkara,sinonim
keelokan,elegansi,sinonim
malang,mujur,antonim
mengobati,mencederai,antonim
berakal,berpengetahuan,sinonim
bebas,dekam,antonim
perjamuan,walimah,sinonim
transparan,gambir,sinonim
rumbai,kumpai,sinonim
berkesempatan,berpeluang,sinonim
lancar,sendat,antonim
semangat,antusias,antonim
anggur,angguran,sinonim
rapi,awut-awutan,antonim
gejala,kenyataan,sinonim
mengenakkan,menyenangkan,sinonim
tembak-menembak,dor-doran,sinonim
ribut,reda,antonim
asusila,dursila,sinonim
modern,primitif,antonim
serok,cedok,sinonim
variabilitas,homogenitas,antonim
ejek,mengecimus,sinonim
gelap,cemerlang,antonim
bersyukur,berlega hati,sinonim
kekuasaan,kuku,sinonim
tempat,kedudukan,sinonim
pasti,sah,sinonim
bayu,bodong,sinonim
jenis,fraksi,sinonim
menyampaikan,mengadukan,sinonim
curang,mukhlis,antonim
kepintaran,kedunguan,antonim
dinamis,statis,antonim
mendekatkan,menjauhkan,antonim
memicingkan,memicing,sinonim
mendarat,melaut,antonim
jiwa,antusias,antonim
ganti,bertukar,sinonim
kebencian,kesukaan,antonim
garang,menjinakkan,antonim
yakin,sangsi,antonim
heterogen,pluralitas,antonim
menanam,menggali,antonim
pelet,bujukan,sinonim
rohani,jasmani,antonim
bercanda,berlawak-lawakan,sinonim
diam,panik,antonim
membenturkan,mengantukkan,sinonim
umum,tersendiri,antonim
tergenang,terlimpas,sinonim
mendukung,melawan,antonim
ulama,malim,sinonim
berkesudahan,berkeputusan,sinonim
kekayaan,kepapaan,antonim
keputusan,ikhtisar,sinonim
tabung,tuba,sinonim
kotor,mukados,antonim
fasih,gagap,antonim
kreativitas,daya cipta,sinonim
penghematan,penjimatan,sinonim
mencaplok,aneksasi,sinonim
taruhan,celengan,sinonim
petambak,petani tambak,sinonim
gagal,tercapai,antonim
panggilan,anjuran,sinonim
terdampar,kandas,sinonim
emosi,kalbu,sinonim
curang,sportif,antonim
pemutus,pencadang,antonim
raung,menggeruh,sinonim
keperakan,keperak-perakan,sinonim
berbaring,tengadah,sinonim
mengaburkan,membeningkan,antonim
jujur,curang,antonim
memuji,mencacat,antonim
menyangkut,cantol,sinonim
mengatur,awut,antonim
keterampilan,vak,sinonim
miring,waras,antonim
lenyap,lelap,sinonim
jahil,anteng,antonim
pingsan,terbang arwah,sinonim
mandul,fertil,antonim
pesantren,pesantrian,sinonim
langgar,bandarsah,sinonim
palsu,legal,antonim
tertentu,acak,antonim
kekekalan,abadiah,sinonim
bangga,dabik dada,sinonim
isak,sedu sedan,sinonim
melarat,sentosa,antonim
menyeleweng,menyalah,sinonim
mempersatukan,mempertentangkan,antonim
rangkuman,ijmal,sinonim
curam,landai,antonim
menjatuhkan,melambungkan,antonim
tirus,pepat,antonim
busuk,usang,sinonim
superior,inferior,antonim
mengerut,mulur,antonim
tujuan,kemauan,sinonim
sederhana,impresif,antonim
bagus,butut,antonim
biola,viol,sinonim
gela,bercelah,sinonim
menyeluruh,berbareng,sinonim
bersandar,beralas,sinonim
pinjaman,setoran,antonim
memunculkan,melenyapkan,antonim
cinta,amor,sinonim
murid,mursyid,antonim
kapal,safinah,sinonim
pakai,ganti,antonim
pendukung,pelawan,antonim
mengembara,larat,sinonim
tidak,ya,antonim
petik,bedol,sinonim
meniarap,menelentang,antonim
guna,guna-ganah,sinonim
tersembul,tertonjol,sinonim
mempresentasikan,mendemonstrasikan,sinonim
menimba,menyauk,sinonim
menetapkan,meletakkan,sinonim
penyampaian,pengutaraan,sinonim
celuk,merosok,sinonim
gabah,gegabah,sinonim
berakhir,bermula,antonim
menetapkan,menunjuk,sinonim
kemudian,menyegerakan,antonim
picis,sepuluh sen,sinonim
kebablasan,keterusan,sinonim
memelihara,menelantarkan,antonim
sedikit,ketek,sinonim
merumitkan,merusuhkan,sinonim
sanjungan,cacian,antonim
biasa,unik,antonim
terbaik,terburuk,antonim
murid,pendidik,antonim
riang,gundah,antonim
param,balur,sinonim
bebas,terkungkung,antonim
menindih,melindas,sinonim
hadir,bolos,antonim
deteksi,pengindraan,sinonim
menyebabkan,mendatangkan,sinonim
transaksi,perundingan,sinonim
melupakan,mengenangkan,antonim
mencolok,intens,sinonim
landasan,tumpuan,sinonim
bakul,besek,sinonim
dungu,bambung,sinonim
kepandaian,kedunguan,antonim
berbahagia,berbesar hati,sinonim
raja,ratu,antonim
bejana,pispot,sinonim
kembung,kempis,antonim
metode,aturan,sinonim
petunjuk,tip,sinonim
berdenyut,berkernyut,sinonim
rapi,semrawut,antonim
jaja,menggalas,sinonim
membedakan,menyeragamkan,antonim
memperdaya,memperdayakan,sinonim
universal,parsial,antonim
reda,mengendur,sinonim
terikat,terbebas,antonim
berjauhan,berhampiran,antonim
adik,abang,antonim
mencopot,lantik,antonim
membenci,menyenangi,antonim
dungu,bangang,sinonim
memiliki,punya,sinonim
akhirnya,awalnya,antonim
bulat,padu,sinonim
benar,sungguh,sinonim
mengoles,melumas,sinonim
memisahkan,menyatukan,antonim
pukul,dera,sinonim
alas,bantal,sinonim
liputan,warta,sinonim
sungguh-sungguh,main-main,antonim
normal,abnormal,antonim
keramaian,keheningan,antonim
yakin,skeptis,antonim
kelemahan,ketebalan,antonim
lusuh,perlente,antonim
menujukan,mengalamatkan,sinonim
mengambil,menitip,antonim
skema,sekema,sinonim
mama,papa,antonim
formal,informal,antonim
tulisan,sastra,sinonim
mundur,mengundurkan diri,sinonim
sumbangan,hibah,sinonim
wafat,menarik napas penghabisan,sinonim
anomali,ketidaknormalan,sinonim
bodoh,odoh,sinonim
impor,mengekspor,antonim
merangkak,berangsur,sinonim
terpejam,nyalang,antonim
jernih,butek,antonim
sugesti,siratan,sinonim
bersih,berdaki,antonim
gebuk,meremas bibir,sinonim
mangga,mempelam,sinonim
memajukan,memundurkan,antonim
pekarangan,jerambah,sinonim
mengurangi,menambahi,antonim
dalam,cetek,antonim
ruangan,palka,sinonim
menyebar,menyatu,antonim
asli,asing,antonim
menyalakan,memadamkan,antonim
buncit,kempis,antonim
kekeliruan,kekhilafan,sinonim
kini,lampau,antonim
lem,perekat,sinonim
lahir,meninggal,antonim
mudah,sukar,antonim
ada,tiada,antonim
lahiriah,batiniah,antonim
jalal,izzah,sinonim
cerah,mendung,antonim
telah,belum,antonim
angin,peluang,sinonim
membiarkan,garap,antonim
rohaniah,badaniah,antonim
heterogen,kebinekaan,antonim
menyatukan,menceraikan,antonim
tekan,menyedikitkan,sinonim
normal,ajaib,antonim
kekurangan,kelebihan,antonim
runcing,mampal,antonim
bengkak,bedan,sinonim
teguh,rapuh,antonim
menyimpan,jaja,antonim
menikahkan,menceraikan,antonim
cemburu,resan,sinonim
wangi,bacin,antonim
bengkok,lancung,sinonim
bertubi-tubi,tuji,sinonim
membinasakan,bantai,sinonim
pengepungan,blokade,sinonim
penyerangan,penahanan,antonim
beda,memper,antonim
penolakan,pengabulan,antonim
pupus,daun muda,sinonim
mendekat,menjauh,antonim
menyetop,memulai,antonim
lembut,sangar,antonim
meluruskan,membelokkan,antonim
meluncurkan,menyelusurkan,sinonim
tersengal-sengal,kempul,sinonim
acuan,cetakan,sinonim
cari,mencekau,sinonim
keruh,dengus,sinonim
liburan,vakansi,sinonim
normal,kelainan,antonim
sarapan,makanan (pagi),sinonim
pesimisme,tasyalim,sinonim
terbawah,teratas,antonim
menangis,tertawa,antonim
intelektual,cendekiawan,sinonim
kaku,fleksibel,antonim
sungguh-sungguh,bersungguh-sungguh,sinonim
menyelidiki,resek,sinonim
putus,berlanjut,antonim
mengganggu,merembet,sinonim
terbanyak,tersedikit,antonim
pera,pulen,antonim
benteng,tambak,sinonim
semacam,aneka,antonim
awalan,anju,sinonim
kebaikan,kezaliman,antonim
terbit,terbenam,antonim
membahas,membantahi,sinonim
suka,benci,antonim
benderang,gulita,antonim
tunggal,rangkap,antonim
bertahan,bersikeras,sinonim
lepas,terikat,antonim
bayan,berandang,sinonim
berkemas,beres-beres,sinonim
hobi,kesukaan,sinonim
mencegah,defensif,sinonim
musuh,ikhwan,antonim
kabur,angkat kaki,sinonim
kebugaran,kepenatan,antonim
uzur,bau tanah,sinonim
memecat,rekrut,antonim
penerangan,penyigian,sinonim
menolak,tekan,antonim
sebentar-sebentar,tempo-tempo,sinonim
hancur,utuh,antonim
menginjak,indik,sinonim
umum,spesial,antonim
tenang,mamang,antonim
pembakaran,pemadaman,antonim
bodoh,pendek akal,sinonim
gol,terlaksana,sinonim
tangkas,ekspres,sinonim
akibat,khatimah,sinonim
meluaskan,menyempitkan,antonim
lelucon,mop,sinonim
kedalaman,kedangkalan,antonim
ragu-ragu,melewa,sinonim
terakhir,pungkasan,sinonim
terus,berhenti,antonim
simpleks,dupleks,antonim
mengutamakan,membelakangkan,antonim
langka,pelik,sinonim
menggali,menguruk,antonim
nyata,teoretis,antonim
rencana,hasrat,sinonim
adik,kakak,antonim
menata,memberantakkan,antonim
ketentuan,ordinasi,sinonim
tunggal,ganda,antonim
berkongsi,berpartner,sinonim
induk,indu,sinonim
malang,duka,sinonim
tunggal,berpasangan,antonim
lapuk,makan bubuk,sinonim
damai,kacau balau,antonim
dinding,pagar,sinonim
kecil,agung,antonim
baik,cacat,antonim
joget,tandak,sinonim
sayang,benci,antonim
penjual,pembeli,antonim
terang,sayup-sayup,antonim
daring,luring,antonim
gemar,damba,sinonim
feminin,maskulin,antonim
afirmasi,isbat,sinonim
kejujuran,kebohongan,antonim
buruk,elok,antonim
bersandar,bersangga,sinonim
glamor,kegemerlapan,sinonim
bening,keruh,antonim
yakin,ragu-ragu,antonim
buang,pungut,antonim
basah,benyek,sinonim
penghimpunan,pemencaran,antonim
cewek,anak dara,sinonim
tangkap,me-,antonim
lemon,sekuas,sinonim
melekat,melepas,antonim
dara,dayang,sinonim
penanaman,penggundulan,antonim
singset,gembrot,antonim
substitusi,penyilihan,sinonim
asam,cemberut,sinonim
berkeinginan,berpretensi,sinonim
kepala,ekor,antonim
diskusi,musyawarah,sinonim
menujukan,menyasarkan,sinonim
netra,alat penglihatan,sinonim
modern,antik,antonim
gampang,rumpil,antonim
dewasa,budak,antonim
kebodohan,kepandaian,antonim
tertib,atur,sinonim
berongga,mampat,antonim
berbeda,identik,antonim
memperpanjang,memperpendek,antonim
membiarkan,memerdekakan,sinonim
berantakan,berselerakan,sinonim
menambah,menyasap,antonim
sentral,pumpunan,sinonim
bahagia,sangsai,antonim
otomatis,manual,antonim
muda,lanjut,antonim
keramaian,kelengangan,antonim
selang,pause,sinonim
jawab,tanya,antonim
abstrak,konkret,antonim
menarik,membosankan,antonim
atasan,bawahan,antonim
ketertarikan,kohesi,sinonim
mengunjungi,menandangi,sinonim
menerobos,terobos,sinonim
baru,obsolet,antonim
menggondol,gonggong,sinonim
persahabatan,perseteruan,antonim
tawar,hampa,sinonim
membayar,mengutang,antonim
pemberian,anugerah,sinonim
nyaris,tekis,sinonim
mengembang,menciut,antonim
pelengkap,aksesori,sinonim
memanjangkan,menyingkat,antonim
pasti,teragak-agak,antonim
seimbang,kerendahan,antonim
berkelompok-kelompok,bertoboh-toboh,sinonim
bangsawan,proletar,antonim
spasial,mondial,antonim
royal,porah,sinonim
buah,putik,antonim
cagar,uang muka,sinonim
ikatan,perkumpulan,sinonim
mengundurkan,menyasarkan,antonim
mesum,senonoh,antonim
relatif,absolut,antonim
menurut,mendegil,antonim
sibuk,sepi,antonim
sunyi,riuh,antonim
fasilitas,servis,sinonim
biar,usah,antonim
hampa,mengesalkan,sinonim
berpagut,berlekap,sinonim
positif,eksplisit,sinonim
mengatur,merusak,antonim
ekstra,intra,antonim
kerempeng,gembrot,antonim
lemah,tebal,antonim
mayoritas,minoritas,antonim
kebanyakan,masyhur,antonim
mengencerkan,memekatkan,antonim
pemenang,pecundang,antonim
homogenitas,kehomogenan,sinonim
kini,nanti,antonim
berhimpun,berpencaran,antonim
kapok,kacrek,sinonim
renggang,dempet,antonim
set,muslihat,sinonim
menamatkan,memulai,antonim
administrasi,tata usaha,sinonim
pindah,diam,antonim
se-,seturut,sinonim
fasih,bacar,sinonim
empuk,kendur,sinonim
terlepas,terbelenggu,antonim
kualat,kasiku,sinonim
berdampak,berbuntut,sinonim
merapu,emis,sinonim
membangkitkan,menggugah,sinonim
bodoh,berakal,antonim
setingkat,sekedudukan,sinonim
buntu,pepet,sinonim
pengertian,tanggapan,sinonim
amal,fitrah,sinonim
mengatasi,mendominasi,sinonim
memburu,melalah,sinonim
senang,gusar,antonim
iri,sirik,sinonim
berdamai,berbalah,antonim
sedikit-dikitnya,sebanyak-banyaknya,antonim
cemerlang,dungu,antonim
kaku,elastis,antonim
roh,antusias,antonim
surga,neraka,antonim
kemajemukan,kehomogenan,antonim
pelatuk,candit,sinonim
kalah,menang,antonim
melingkar,berpiuh,sinonim
bersukacita,berdukacita,antonim
ekonomis,boros,antonim
kaidah,kanun,sinonim
berhadapan,berhadap-hadapan,sinonim
berandal,penyerobot,sinonim
cangkir,mangkuk,sinonim
berkecukupan,berpunya,sinonim
mintak,kendit,sinonim
buntung,langkah kidal,sinonim
perkutut,ketitir,sinonim
biasa,masyhur,antonim
hakam,pengantara,sinonim
kerdil,ceding,sinonim
cair,lumer,sinonim
mencabut,menusuk,antonim
damai,tikai,antonim
berdempetan,berenggangan,antonim
melaporkan,meraporkan,sinonim
baku,lentur,antonim
potong,sibir,sinonim
asli,imitasi,antonim
mulai,selesai,antonim
menjahit,menyulam,sinonim
sempurna,salim,sinonim
berzikir,bertahmid,sinonim
titian,jambat,sinonim
